metric_optim,lr,fold,NSR,dataset,metric_eval,y
rr,0.001,0,2,Epinions,RBP_95,0.2788
rr,0.001,0,2,Epinions,RR,0.766
ap,0.001,0,5,Epinions,AP,0.7981
ap,0.001,0,5,Epinions,NDCG,0.9204
ap,0.001,0,5,Epinions,RBP_80,0.747
ap,0.001,0,5,Epinions,RBP_90,0.5755
ap,0.001,0,5,Epinions,RBP_95,0.3951
ap,0.001,0,5,Epinions,RR,0.9586
dcg,0.001,0,5,Epinions,AP,0.7965
dcg,0.001,0,5,Epinions,NDCG,0.9198
dcg,0.001,0,5,Epinions,RBP_80,0.7452
dcg,0.001,0,5,Epinions,RBP_90,0.5743
dcg,0.001,0,5,Epinions,RBP_95,0.3944
dcg,0.001,0,5,Epinions,RR,0.9595
rbp_80,0.001,0,5,Epinions,AP,0.7355
rbp_80,0.001,0,5,Epinions,NDCG,0.8946
rbp_80,0.001,0,5,Epinions,RBP_80,0.7112
rbp_80,0.001,0,5,Epinions,RBP_90,0.5438
rbp_80,0.001,0,5,Epinions,RBP_95,0.374
rbp_80,0.001,0,5,Epinions,RR,0.9465
rbp_90,0.001,0,5,Epinions,AP,0.7648
rbp_90,0.001,0,5,Epinions,NDCG,0.9067
rbp_90,0.001,0,5,Epinions,RBP_80,0.7292
rbp_90,0.001,0,5,Epinions,RBP_90,0.5588
rbp_90,0.001,0,5,Epinions,RBP_95,0.3835
rbp_90,0.001,0,5,Epinions,RR,0.9513
rbp_95,0.001,0,5,Epinions,AP,0.7887
rbp_95,0.001,0,5,Epinions,NDCG,0.9172
rbp_95,0.001,0,5,Epinions,RBP_80,0.7433
rbp_95,0.001,0,5,Epinions,RBP_90,0.571
rbp_95,0.001,0,5,Epinions,RBP_95,0.3914
rbp_95,0.001,0,5,Epinions,RR,0.9607
rr,0.001,0,5,Epinions,AP,0.3457
rr,0.001,0,5,Epinions,NDCG,0.6755
rr,0.001,0,5,Epinions,RBP_80,0.3756
rr,0.001,0,5,Epinions,RBP_90,0.2825
rr,0.001,0,5,Epinions,RBP_95,0.2122
rr,0.001,0,5,Epinions,RR,0.7603
ap,0.001,1,1,Epinions,AP,0.911
ap,0.001,1,1,Epinions,NDCG,0.968
ap,0.001,1,1,Epinions,RBP_80,0.8163
ap,0.001,1,1,Epinions,RBP_90,0.6315
ap,0.001,1,1,Epinions,RBP_95,0.4302
ap,0.001,1,1,Epinions,RR,0.985
dcg,0.001,1,1,Epinions,AP,0.9104
dcg,0.001,1,1,Epinions,NDCG,0.9675
dcg,0.001,1,1,Epinions,RBP_80,0.8155
dcg,0.001,1,1,Epinions,RBP_90,0.6312
dcg,0.001,1,1,Epinions,RBP_95,0.4301
dcg,0.001,1,1,Epinions,RR,0.9841
rbp_80,0.001,1,1,Epinions,AP,0.9009
rbp_80,0.001,1,1,Epinions,NDCG,0.9651
rbp_80,0.001,1,1,Epinions,RBP_80,0.8109
rbp_80,0.001,1,1,Epinions,RBP_90,0.6267
rbp_80,0.001,1,1,Epinions,RBP_95,0.4272
rbp_80,0.001,1,1,Epinions,RR,0.9862
rbp_90,0.001,1,1,Epinions,AP,0.9131
rbp_90,0.001,1,1,Epinions,NDCG,0.9696
rbp_90,0.001,1,1,Epinions,RBP_80,0.819
rbp_90,0.001,1,1,Epinions,RBP_90,0.6324
rbp_90,0.001,1,1,Epinions,RBP_95,0.4302
rbp_90,0.001,1,1,Epinions,RR,0.9869
rbp_95,0.001,1,1,Epinions,AP,0.9189
rbp_95,0.001,1,1,Epinions,NDCG,0.9717
rbp_95,0.001,1,1,Epinions,RBP_80,0.8223
rbp_95,0.001,1,1,Epinions,RBP_90,0.6349
rbp_95,0.001,1,1,Epinions,RBP_95,0.4317
rbp_95,0.001,1,1,Epinions,RR,0.9884
rr,0.001,1,1,Epinions,AP,0.5973
rr,0.001,1,1,Epinions,NDCG,0.8116
rr,0.001,1,1,Epinions,RBP_80,0.5358
rr,0.001,1,1,Epinions,RBP_90,0.4497
rr,0.001,1,1,Epinions,RBP_95,0.3382
rr,0.001,1,1,Epinions,RR,0.8276
ap,0.001,1,2,Epinions,AP,0.8716
ap,0.001,1,2,Epinions,NDCG,0.9524
ap,0.001,1,2,Epinions,RBP_80,0.7928
ap,0.001,1,2,Epinions,RBP_90,0.6121
ap,0.001,1,2,Epinions,RBP_95,0.4183
ap,0.001,1,2,Epinions,RR,0.9771
dcg,0.001,1,2,Epinions,AP,0.8706
dcg,0.001,1,2,Epinions,NDCG,0.9521
dcg,0.001,1,2,Epinions,RBP_80,0.7922
dcg,0.001,1,2,Epinions,RBP_90,0.6117
dcg,0.001,1,2,Epinions,RBP_95,0.4181
dcg,0.001,1,2,Epinions,RR,0.9783
rbp_80,0.001,1,2,Epinions,AP,0.842
rbp_80,0.001,1,2,Epinions,NDCG,0.942
rbp_80,0.001,1,2,Epinions,RBP_80,0.7757
rbp_80,0.001,1,2,Epinions,RBP_90,0.5977
rbp_80,0.001,1,2,Epinions,RBP_95,0.4093
rbp_80,0.001,1,2,Epinions,RR,0.9737
rbp_90,0.001,1,2,Epinions,AP,0.8622
rbp_90,0.001,1,2,Epinions,NDCG,0.9498
rbp_90,0.001,1,2,Epinions,RBP_80,0.7889
rbp_90,0.001,1,2,Epinions,RBP_90,0.6078
rbp_90,0.001,1,2,Epinions,RBP_95,0.4151
rbp_90,0.001,1,2,Epinions,RR,0.9787
rbp_95,0.001,1,2,Epinions,AP,0.8736
rbp_95,0.001,1,2,Epinions,NDCG,0.9543
rbp_95,0.001,1,2,Epinions,RBP_80,0.7953
rbp_95,0.001,1,2,Epinions,RBP_90,0.6129
rbp_95,0.001,1,2,Epinions,RBP_95,0.4183
rbp_95,0.001,1,2,Epinions,RR,0.9822
rr,0.001,1,2,Epinions,AP,0.4688
rr,0.001,1,2,Epinions,NDCG,0.7446
rr,0.001,1,2,Epinions,RBP_80,0.4403
rr,0.001,1,2,Epinions,RBP_90,0.3658
rr,0.001,1,2,Epinions,RBP_95,0.2836
rr,0.001,1,2,Epinions,RR,0.7747
ap,0.001,1,5,Epinions,AP,0.7972
ap,0.001,1,5,Epinions,NDCG,0.9195
