metric_optim,lr,fold,NSR,dataset,metric_eval,y
rbp_95,0.1,2,1,citeulike,AP,0.914
rbp_95,0.1,2,1,citeulike,NDCG,0.9666
rbp_95,0.1,2,1,citeulike,RBP_80,0.7963
rbp_95,0.1,2,1,citeulike,RBP_90,0.6074
rbp_95,0.1,2,1,citeulike,RBP_95,0.4089
rbp_95,0.1,2,1,citeulike,RR,0.9784
rr,1,2,1,citeulike,AP,0.5919
rr,1,2,1,citeulike,NDCG,0.8012
rr,1,2,1,citeulike,RBP_80,0.5142
rr,1,2,1,citeulike,RBP_90,0.4308
rr,1,2,1,citeulike,RBP_95,0.3206
rr,1,2,1,citeulike,RR,0.7847
ap,10,2,2,citeulike,AP,0.8136
ap,10,2,2,citeulike,NDCG,0.9241
ap,3,2,2,citeulike,RBP_80,0.724
ap,3,2,2,citeulike,RBP_90,0.5597
ap,3,2,2,citeulike,RBP_95,0.3843
ap,3,2,2,citeulike,RR,0.9509
dcg,3,2,2,citeulike,AP,0.8135
dcg,1,2,2,citeulike,NDCG,0.9253
dcg,10,2,2,citeulike,RBP_80,0.7246
dcg,3,2,2,citeulike,RBP_90,0.5582
dcg,1,2,2,citeulike,RBP_95,0.383
dcg,1,2,2,citeulike,RR,0.9567
rbp_80,0.1,2,2,citeulike,AP,0.8699
rbp_80,0.1,2,2,citeulike,NDCG,0.949
rbp_80,0.1,2,2,citeulike,RBP_80,0.7667
rbp_80,0.1,2,2,citeulike,RBP_90,0.5859
rbp_80,0.1,2,2,citeulike,RBP_95,0.3969
rbp_80,0.1,2,2,citeulike,RR,0.9654
rbp_90,0.1,2,2,citeulike,AP,0.8699
rbp_90,0.1,2,2,citeulike,NDCG,0.949
rbp_90,0.1,2,2,citeulike,RBP_80,0.7667
rbp_90,0.1,2,2,citeulike,RBP_90,0.5859
rbp_90,0.1,2,2,citeulike,RBP_95,0.3969
rbp_90,0.1,2,2,citeulike,RR,0.9654
rbp_95,0.1,2,2,citeulike,AP,0.8696
rbp_95,0.1,2,2,citeulike,NDCG,0.9488
rbp_95,0.1,2,2,citeulike,RBP_80,0.7663
rbp_95,0.1,2,2,citeulike,RBP_90,0.5858
rbp_95,0.1,2,2,citeulike,RBP_95,0.3969
rbp_95,0.1,2,2,citeulike,RR,0.9653
rr,3,2,2,citeulike,AP,0.4253
rr,3,2,2,citeulike,NDCG,0.7005
rr,3,2,2,citeulike,RBP_80,0.3651
rr,10,2,2,citeulike,RBP_90,0.3207
rr,10,2,2,citeulike,RBP_95,0.2561
rr,3,2,2,citeulike,RR,0.6572
ap,0.1,2,5,citeulike,AP,0.7274
ap,0.1,2,5,citeulike,NDCG,0.8847
ap,0.1,2,5,citeulike,RBP_80,0.6641
ap,0.1,2,5,citeulike,RBP_90,0.5144
ap,0.1,2,5,citeulike,RBP_95,0.3574
ap,3,2,5,citeulike,RR,0.9241
dcg,1,2,5,citeulike,AP,0.7298
dcg,1,2,5,citeulike,NDCG,0.8859
dcg,1,2,5,citeulike,RBP_80,0.6659
dcg,1,2,5,citeulike,RBP_90,0.514
dcg,1,2,5,citeulike,RBP_95,0.3568
dcg,10,2,5,citeulike,RR,0.9231
rbp_80,0.01,2,5,citeulike,AP,0.7794
rbp_80,0.01,2,5,citeulike,NDCG,0.909
rbp_80,0.01,2,5,citeulike,RBP_80,0.7049
rbp_80,0.01,2,5,citeulike,RBP_90,0.5418
rbp_80,0.01,2,5,citeulike,RBP_95,0.3719
rbp_80,0.01,2,5,citeulike,RR,0.9372
rbp_90,0.01,2,5,citeulike,AP,0.7794
rbp_90,0.01,2,5,citeulike,NDCG,0.9088
rbp_90,0.01,2,5,citeulike,RBP_80,0.7046
rbp_90,0.01,2,5,citeulike,RBP_90,0.5419
rbp_90,0.01,2,5,citeulike,RBP_95,0.3721
rbp_90,0.01,2,5,citeulike,RR,0.937
rbp_95,0.01,2,5,citeulike,AP,0.7775
rbp_95,0.01,2,5,citeulike,NDCG,0.9076
rbp_95,0.01,2,5,citeulike,RBP_80,0.7031
rbp_95,0.01,2,5,citeulike,RBP_90,0.5415
rbp_95,0.01,2,5,citeulike,RBP_95,0.3722
rbp_95,0.01,2,5,citeulike,RR,0.9344
rr,10,2,5,citeulike,AP,0.2449
rr,10,2,5,citeulike,NDCG,0.5706
rr,10,2,5,citeulike,RBP_80,0.2119
rr,10,2,5,citeulike,RBP_90,0.1858
rr,10,2,5,citeulike,RBP_95,0.1602
rr,10,2,5,citeulike,RR,0.4842
ap,3,0,1,Epinions,AP,0.9049
ap,10,0,1,Epinions,NDCG,0.9659
ap,3,0,1,Epinions,RBP_80,0.8121
ap,10,0,1,Epinions,RBP_90,0.6288
ap,10,0,1,Epinions,RBP_95,0.429
ap,10,0,1,Epinions,RR,0.9855
dcg,3,0,1,Epinions,AP,0.9075
dcg,3,0,1,Epinions,NDCG,0.9671
dcg,10,0,1,Epinions,RBP_80,0.8139
dcg,3,0,1,Epinions,RBP_90,0.6297
dcg,3,0,1,Epinions,RBP_95,0.4295
dcg,3,0,1,Epinions,RR,0.9861
rbp_80,0.1,0,1,Epinions,AP,0.9112
rbp_80,0.1,0,1,Epinions,NDCG,0.9677
rbp_80,0.1,0,1,Epinions,RBP_80,0.8158
rbp_80,0.1,0,1,Epinions,RBP_90,0.6311
rbp_80,0.1,0,1,Epinions,RBP_95,0.4299
rbp_80,0.1,0,1,Epinions,RR,0.9833
rbp_90,0.1,0,1,Epinions,AP,0.9113
rbp_90,0.1,0,1,Epinions,NDCG,0.9678
rbp_90,0.1,0,1,Epinions,RBP_80,0.8158
rbp_90,0.1,0,1,Epinions,RBP_90,0.6312
rbp_90,0.1,0,1,Epinions,RBP_95,0.43
rbp_90,0.1,0,1,Epinions,RR,0.9835
rbp_95,0.1,0,1,Epinions,AP,0.911
rbp_95,0.1,0,1,Epinions,NDCG,0.9677
rbp_95,0.1,0,1,Epinions,RBP_80,0.8156
rbp_95,0.1,0,1,Epinions,RBP_90,0.6312
rbp_95,0.1,0,1,Epinions,RBP_95,0.4301
rbp_95,0.1,0,1,Epinions,RR,0.9836
rr,10,0,1,Epinions,AP,0.6411
rr,10,0,1,Epinions,NDCG,0.8523
rr,10,0,1,Epinions,RBP_80,0.6118
rr,10,0,1,Epinions,RBP_90,0.4814
rr,10,0,1,Epinions,RBP_95,0.3476
rr,10,0,1,Epinions,RR,0.9253
ap,10,0,2,Epinions,AP,0.8625
ap,1,0,2,Epinions,NDCG,0.949
ap,10,0,2,Epinions,RBP_80,0.7867
ap,10,0,2,Epinions,RBP_90,0.6082
ap,3,0,2,Epinions,RBP_95,0.4164
ap,3,0,2,Epinions,RR,0.9759
dcg,10,0,2,Epinions,AP,0.8671
dcg,1,0,2,Epinions,NDCG,0.9511
dcg,10,0,2,Epinions,RBP_80,0.7898
dcg,10,0,2,Epinions,RBP_90,0.6101
dcg,10,0,2,Epinions,RBP_95,0.4175
dcg,1,0,2,Epinions,RR,0.9775
rbp_80,0.1,0,2,Epinions,AP,0.8725
rbp_80,0.1,0,2,Epinions,NDCG,0.9533
rbp_80,0.1,0,2,Epinions,RBP_80,0.7935
rbp_80,0.1,0,2,Epinions,RBP_90,0.6118
rbp_80,0.1,0,2,Epinions,RBP_95,0.4177
rbp_80,0.1,0,2,Epinions,RR,0.9791
rbp_90,0.1,0,2,Epinions,AP,0.8722
rbp_90,0.1,0,2,Epinions,NDCG,0.9529
rbp_90,0.1,0,2,Epinions,RBP_80,0.793
rbp_90,0.1,0,2,Epinions,RBP_90,0.612
rbp_90,0.1,0,2,Epinions,RBP_95,0.4181
rbp_90,0.1,0,2,Epinions,RR,0.9786
rbp_95,0.1,0,2,Epinions,AP,0.8722
rbp_95,0.1,0,2,Epinions,NDCG,0.9529
rbp_95,0.1,0,2,Epinions,RBP_80,0.793
rbp_95,0.1,0,2,Epinions,RBP_90,0.612
rbp_95,0.1,0,2,Epinions,RBP_95,0.4181
rbp_95,0.1,0,2,Epinions,RR,0.9786
rr,10,0,2,Epinions,AP,0.4968
rr,10,0,2,Epinions,NDCG,0.7741
rr,10,0,2,Epinions,RBP_80,0.4999
rr,10,0,2,Epinions,RBP_90,0.3896
rr,10,0,2,Epinions,RBP_95,0.2886
rr,10,0,2,Epinions,RR,0.8567
ap,1,0,5,Epinions,AP,0.7863
ap,1,0,5,Epinions,NDCG,0.9159
ap,1,0,5,Epinions,RBP_80,0.7399
ap,1,0,5,Epinions,RBP_90,0.5701
ap,1,0,5,Epinions,RBP_95,0.3919
ap,1,0,5,Epinions,RR,0.9577
dcg,10,0,5,Epinions,AP,0.7931
dcg,10,0,5,Epinions,NDCG,0.9189
dcg,10,0,5,Epinions,RBP_80,0.7444
dcg,10,0,5,Epinions,RBP_90,0.5734
dcg,10,0,5,Epinions,RBP_95,0.394
dcg,10,0,5,Epinions,RR,0.9605
rbp_80,0.01,0,5,Epinions,AP,0.801
rbp_80,0.01,0,5,Epinions,NDCG,0.9224
rbp_80,0.01,0,5,Epinions,RBP_80,0.7499
rbp_80,0.01,0,5,Epinions,RBP_90,0.5757
rbp_80,0.001,0,5,Epinions,RBP_95,0.3937
rbp_80,0.01,0,5,Epinions,RR,0.9625
rbp_90,0.01,0,5,Epinions,AP,0.8
rbp_90,0.01,0,5,Epinions,NDCG,0.921
rbp_90,0.01,0,5,Epinions,RBP_80,0.749
rbp_90,0.01,0,5,Epinions,RBP_90,0.5767
rbp_90,0.01,0,5,Epinions,RBP_95,0.3949
rbp_90,0.01,0,5,Epinions,RR,0.9585
rbp_95,0.01,0,5,Epinions,AP,0.7977
rbp_95,0.01,0,5,Epinions,NDCG,0.9196
rbp_95,0.01,0,5,Epinions,RBP_80,0.7473
rbp_95,0.01,0,5,Epinions,RBP_90,0.5763
rbp_95,0.01,0,5,Epinions,RBP_95,0.3951
