loss_type: dcg, lr: 0.01, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.5422, AP = 0.223, RR = 0.37, RBP_80 = 0.1691, RBP_90 = 0.1661, RBP_95 = 0.1533, 
loss_type: dcg, lr: 0.1, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7803, AP = 0.5416, RR = 0.802, RBP_80 = 0.5043, RBP_90 = 0.3946, RBP_95 = 0.2853, 
loss_type: dcg, lr: 1.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8859, AP = 0.7298, RR = 0.9225, RBP_80 = 0.6659, RBP_90 = 0.514, RBP_95 = 0.3568, 
loss_type: dcg, lr: 3.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8859, AP = 0.7298, RR = 0.9221, RBP_80 = 0.6658, RBP_90 = 0.514, RBP_95 = 0.3568, 
loss_type: dcg, lr: 10.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8858, AP = 0.7291, RR = 0.9231, RBP_80 = 0.6653, RBP_90 = 0.5135, RBP_95 = 0.3566, 
loss_type: ap, lr: 0.001, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.582, AP = 0.2778, RR = 0.4484, RBP_80 = 0.245, RBP_90 = 0.226, RBP_95 = 0.1947, 
loss_type: ap, lr: 0.01, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8426, AP = 0.656, RR = 0.8605, RBP_80 = 0.6053, RBP_90 = 0.4795, RBP_95 = 0.3417, 
loss_type: ap, lr: 0.1, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8847, AP = 0.7274, RR = 0.9225, RBP_80 = 0.6641, RBP_90 = 0.5144, RBP_95 = 0.3574, 
loss_type: ap, lr: 1.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8847, AP = 0.7274, RR = 0.9222, RBP_80 = 0.6639, RBP_90 = 0.5141, RBP_95 = 0.3572, 
loss_type: ap, lr: 3.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8839, AP = 0.7253, RR = 0.9241, RBP_80 = 0.6627, RBP_90 = 0.5134, RBP_95 = 0.3568, 
loss_type: ap, lr: 10.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8636, AP = 0.6869, RR = 0.8976, RBP_80 = 0.6332, RBP_90 = 0.4928, RBP_95 = 0.3449, 
loss_type: rr, lr: 0.001, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.5403, AP = 0.221, RR = 0.3676, RBP_80 = 0.1666, RBP_90 = 0.1642, RBP_95 = 0.1523, 
loss_type: rr, lr: 0.01, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.5436, AP = 0.223, RR = 0.3888, RBP_80 = 0.1705, RBP_90 = 0.1653, RBP_95 = 0.1522, 
loss_type: rr, lr: 0.1, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.5559, AP = 0.2313, RR = 0.4444, RBP_80 = 0.1898, RBP_90 = 0.1734, RBP_95 = 0.1544, 
loss_type: rr, lr: 1.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.5605, AP = 0.2362, RR = 0.4566, RBP_80 = 0.1948, RBP_90 = 0.1751, RBP_95 = 0.1546, 
loss_type: rr, lr: 3.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.5658, AP = 0.2409, RR = 0.4722, RBP_80 = 0.2064, RBP_90 = 0.1818, RBP_95 = 0.1576, 
loss_type: rr, lr: 10.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.5706, AP = 0.2449, RR = 0.4842, RBP_80 = 0.2119, RBP_90 = 0.1858, RBP_95 = 0.1602, 
loss_type: rbp_80, lr: 0.001, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8984, AP = 0.7611, RR = 0.9252, RBP_80 = 0.6906, RBP_90 = 0.5353, RBP_95 = 0.3699, 
loss_type: rbp_80, lr: 0.01, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.909, AP = 0.7794, RR = 0.9372, RBP_80 = 0.7049, RBP_90 = 0.5418, RBP_95 = 0.3719, 
loss_type: rbp_80, lr: 0.1, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9035, AP = 0.7695, RR = 0.9252, RBP_80 = 0.6953, RBP_90 = 0.5355, RBP_95 = 0.3683, 
loss_type: rbp_80, lr: 1.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7346, AP = 0.5117, RR = 0.5916, RBP_80 = 0.4341, RBP_90 = 0.384, RBP_95 = 0.2944, 
loss_type: rbp_80, lr: 3.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6745, AP = 0.4057, RR = 0.5495, RBP_80 = 0.3497, RBP_90 = 0.3152, RBP_95 = 0.2529, 
loss_type: rbp_80, lr: 10.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6558, AP = 0.3802, RR = 0.5268, RBP_80 = 0.3159, RBP_90 = 0.2928, RBP_95 = 0.2414, 
loss_type: rbp_90, lr: 0.001, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8984, AP = 0.7611, RR = 0.9252, RBP_80 = 0.6906, RBP_90 = 0.5353, RBP_95 = 0.3699, 
loss_type: rbp_90, lr: 0.01, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9088, AP = 0.7794, RR = 0.937, RBP_80 = 0.7046, RBP_90 = 0.5419, RBP_95 = 0.3721, 
loss_type: rbp_90, lr: 0.1, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9035, AP = 0.7695, RR = 0.9252, RBP_80 = 0.6953, RBP_90 = 0.5355, RBP_95 = 0.3683, 
loss_type: rbp_90, lr: 1.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.7346, AP = 0.5117, RR = 0.5916, RBP_80 = 0.4341, RBP_90 = 0.384, RBP_95 = 0.2944, 
loss_type: rbp_90, lr: 3.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6745, AP = 0.4057, RR = 0.5495, RBP_80 = 0.3497, RBP_90 = 0.3152, RBP_95 = 0.2529, 
loss_type: rbp_90, lr: 10.0, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.6558, AP = 0.3802, RR = 0.5269, RBP_80 = 0.3158, RBP_90 = 0.2929, RBP_95 = 0.2415, 
loss_type: rbp_95, lr: 0.001, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.8984, AP = 0.7611, RR = 0.9252, RBP_80 = 0.6906, RBP_90 = 0.5353, RBP_95 = 0.3699, 
loss_type: rbp_95, lr: 0.01, frac: 5.0, th: 0, emb_size: 32, fold: 2, NDCG = 0.9076, AP = 0.7775, RR = 0.9344, RBP_80 = 0.7031, RBP_90 = 0.5415, RBP_95 = 0.3722, 
