loss_type: rbp_95, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8711, AP = 0.7088, RR = 0.9274, RBP_80 = 0.5848, RBP_90 = 0.4139, RBP_95 = 0.2655, 
loss_type: rbp_95, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.8718, AP = 0.7097, RR = 0.9291, RBP_80 = 0.586, RBP_90 = 0.4143, RBP_95 = 0.2657, 
loss_type: rbp_95, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7695, AP = 0.5678, RR = 0.7279, RBP_80 = 0.4651, RBP_90 = 0.3636, RBP_95 = 0.2482, 
loss_type: rbp_95, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7676, AP = 0.5747, RR = 0.6846, RBP_80 = 0.4702, RBP_90 = 0.3679, RBP_95 = 0.2501, 
loss_type: rbp_95, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7276, AP = 0.4884, RR = 0.7198, RBP_80 = 0.3987, RBP_90 = 0.3212, RBP_95 = 0.2291, 
loss_type: ndcg_5, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.5281, AP = 0.237, RR = 0.3684, RBP_80 = 0.1679, RBP_90 = 0.1639, RBP_95 = 0.1449, 
loss_type: ndcg_5, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.5435, AP = 0.2509, RR = 0.4143, RBP_80 = 0.1851, RBP_90 = 0.1725, RBP_95 = 0.1483, 
loss_type: ndcg_5, lr: 0.1, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7961, AP = 0.5739, RR = 0.8712, RBP_80 = 0.4972, RBP_90 = 0.3488, RBP_95 = 0.2284, 
loss_type: ndcg_5, lr: 1.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7975, AP = 0.5764, RR = 0.8728, RBP_80 = 0.4996, RBP_90 = 0.3502, RBP_95 = 0.229, 
loss_type: ndcg_5, lr: 3.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7974, AP = 0.5764, RR = 0.8721, RBP_80 = 0.4995, RBP_90 = 0.3502, RBP_95 = 0.229, 
loss_type: ndcg_5, lr: 10.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7968, AP = 0.5755, RR = 0.871, RBP_80 = 0.4988, RBP_90 = 0.3498, RBP_95 = 0.2288, 
loss_type: dcg, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.5281, AP = 0.237, RR = 0.3685, RBP_80 = 0.1679, RBP_90 = 0.1639, RBP_95 = 0.1449, 
loss_type: dcg, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.5435, AP = 0.2509, RR = 0.4143, RBP_80 = 0.1851, RBP_90 = 0.1725, RBP_95 = 0.1483, 
loss_type: dcg, lr: 0.1, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7961, AP = 0.5739, RR = 0.8712, RBP_80 = 0.4972, RBP_90 = 0.3488, RBP_95 = 0.2284, 
loss_type: dcg, lr: 1.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7975, AP = 0.5764, RR = 0.8728, RBP_80 = 0.4996, RBP_90 = 0.3502, RBP_95 = 0.229, 
loss_type: dcg, lr: 3.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7974, AP = 0.5764, RR = 0.8721, RBP_80 = 0.4995, RBP_90 = 0.3502, RBP_95 = 0.229, 
loss_type: dcg, lr: 10.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7968, AP = 0.5755, RR = 0.871, RBP_80 = 0.4988, RBP_90 = 0.3498, RBP_95 = 0.2288, 
loss_type: ap, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.5545, AP = 0.2621, RR = 0.4461, RBP_80 = 0.2031, RBP_90 = 0.1833, RBP_95 = 0.154, 
loss_type: ap, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7909, AP = 0.5662, RR = 0.863, RBP_80 = 0.4897, RBP_90 = 0.3455, RBP_95 = 0.2274, 
loss_type: ap, lr: 0.1, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7962, AP = 0.5743, RR = 0.8705, RBP_80 = 0.4983, RBP_90 = 0.3499, RBP_95 = 0.2291, 
loss_type: ap, lr: 1.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7959, AP = 0.5741, RR = 0.8708, RBP_80 = 0.4982, RBP_90 = 0.3499, RBP_95 = 0.2291, 
loss_type: ap, lr: 3.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7934, AP = 0.57, RR = 0.8683, RBP_80 = 0.4949, RBP_90 = 0.3478, RBP_95 = 0.228, 
loss_type: ap, lr: 10.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.764, AP = 0.521, RR = 0.8443, RBP_80 = 0.4558, RBP_90 = 0.3213, RBP_95 = 0.2148, 
loss_type: rr, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.5281, AP = 0.2369, RR = 0.3693, RBP_80 = 0.1678, RBP_90 = 0.1637, RBP_95 = 0.1447, 
loss_type: rr, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.5527, AP = 0.2558, RR = 0.4685, RBP_80 = 0.1919, RBP_90 = 0.1722, RBP_95 = 0.1469, 
loss_type: rr, lr: 0.1, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.5919, AP = 0.2899, RR = 0.5953, RBP_80 = 0.2369, RBP_90 = 0.1903, RBP_95 = 0.1523, 
loss_type: rr, lr: 1.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.5986, AP = 0.2962, RR = 0.614, RBP_80 = 0.2448, RBP_90 = 0.1938, RBP_95 = 0.1534, 
loss_type: rr, lr: 3.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6068, AP = 0.3042, RR = 0.6355, RBP_80 = 0.2551, RBP_90 = 0.1985, RBP_95 = 0.1551, 
loss_type: rr, lr: 10.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6104, AP = 0.3086, RR = 0.639, RBP_80 = 0.2611, RBP_90 = 0.2019, RBP_95 = 0.1563, 
loss_type: rbp_80, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7951, AP = 0.5753, RR = 0.866, RBP_80 = 0.5001, RBP_90 = 0.3508, RBP_95 = 0.2288, 
loss_type: rbp_80, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7959, AP = 0.5765, RR = 0.8669, RBP_80 = 0.501, RBP_90 = 0.3516, RBP_95 = 0.2293, 
loss_type: rbp_80, lr: 0.1, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7838, AP = 0.5616, RR = 0.8363, RBP_80 = 0.4883, RBP_90 = 0.3458, RBP_95 = 0.2271, 
loss_type: rbp_80, lr: 1.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.5871, AP = 0.3278, RR = 0.3739, RBP_80 = 0.2554, RBP_90 = 0.2377, RBP_95 = 0.1858, 
loss_type: rbp_80, lr: 3.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6314, AP = 0.3447, RR = 0.6227, RBP_80 = 0.2954, RBP_90 = 0.2308, RBP_95 = 0.1736, 
loss_type: rbp_80, lr: 10.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6036, AP = 0.3157, RR = 0.5456, RBP_80 = 0.267, RBP_90 = 0.2187, RBP_95 = 0.1685, 
loss_type: rbp_90, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7951, AP = 0.5752, RR = 0.866, RBP_80 = 0.4999, RBP_90 = 0.351, RBP_95 = 0.229, 
loss_type: rbp_90, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.796, AP = 0.5766, RR = 0.8673, RBP_80 = 0.5009, RBP_90 = 0.3516, RBP_95 = 0.2293, 
loss_type: rbp_90, lr: 0.1, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.7838, AP = 0.5616, RR = 0.8363, RBP_80 = 0.4883, RBP_90 = 0.3458, RBP_95 = 0.2271, 
loss_type: rbp_90, lr: 1.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.5871, AP = 0.3278, RR = 0.3739, RBP_80 = 0.2554, RBP_90 = 0.2377, RBP_95 = 0.1858, 
loss_type: rbp_90, lr: 3.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6314, AP = 0.3447, RR = 0.6227, RBP_80 = 0.2954, RBP_90 = 0.2308, RBP_95 = 0.1736, 
loss_type: rbp_90, lr: 10.0, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.6036, AP = 0.3157, RR = 0.5456, RBP_80 = 0.267, RBP_90 = 0.2187, RBP_95 = 0.1685, 
loss_type: rbp_95, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.795, AP = 0.5749, RR = 0.866, RBP_80 = 0.4997, RBP_90 = 0.351, RBP_95 = 0.2291, 
loss_type: rbp_95, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 2, NDCG = 0.796, AP = 0.5764, RR = 0.8676, RBP_80 = 0.5008, RBP_90 = 0.3516, RBP_95 = 0.2293, 
