loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
ndcg_5,0.001,4,0,1,1.0,32,0.5028,0.7735,0.7026,0.5894,0.4718,0.3802,0.2584
dcg,0.1,4,0,1,1.0,32,0.8015,0.9163,0.9563,0.8005,0.6458,0.4561,0.2856
ndcg_5,0.1,4,0,1,1.0,32,0.8017,0.9163,0.956,0.8004,0.6458,0.4561,0.2856
dcg,1.0,4,0,1,1.0,32,0.8013,0.9163,0.9564,0.8004,0.6457,0.4561,0.2856
ndcg_5,1.0,4,0,1,1.0,32,0.8017,0.9163,0.9559,0.8005,0.6459,0.4561,0.2856
dcg,10.0,4,0,1,1.0,32,0.7993,0.9152,0.9556,0.7983,0.6444,0.4555,0.2854
ndcg_5,10.0,4,0,1,1.0,32,0.7993,0.9152,0.9556,0.7983,0.6444,0.4555,0.2854
dcg,3.0,4,0,1,1.0,32,0.8012,0.9163,0.9562,0.8004,0.6457,0.4561,0.2856
ndcg_5,3.0,4,0,1,1.0,32,0.8012,0.9163,0.9562,0.8004,0.6457,0.4561,0.2856
rbp_80,0.001,4,0,1,1.0,32,0.8094,0.9169,0.9571,0.8018,0.6469,0.4558,0.2853
rbp_90,0.001,4,0,1,1.0,32,0.8094,0.9169,0.9571,0.8018,0.6469,0.4558,0.2853
rbp_95,0.001,4,0,1,1.0,32,0.8093,0.9169,0.9570000000000001,0.8018,0.6469,0.4558,0.2853
rbp_80,0.01,4,0,1,1.0,32,0.8098,0.917,0.9572,0.802,0.6471,0.4559,0.2854
rbp_90,0.01,4,0,1,1.0,32,0.8098,0.917,0.9572,0.802,0.6471,0.4559,0.2854
rbp_95,0.01,4,0,1,1.0,32,0.8098,0.917,0.9572,0.802,0.6471,0.4559,0.2854
rbp_80,1.0,4,0,1,1.0,32,0.6978,0.8651,0.8625,0.7245,0.5874,0.4322,0.2775
rbp_80,0.1,4,0,1,1.0,32,0.8093,0.9168,0.9573,0.8014,0.6469,0.4558,0.2854
rbp_90,1.0,4,0,1,1.0,32,0.6978,0.8651,0.8625,0.7245,0.5874,0.4322,0.2775
rbp_90,0.1,4,0,1,1.0,32,0.8093,0.9168,0.9573,0.8014,0.6469,0.4558,0.2854
rbp_95,1.0,4,0,1,1.0,32,0.6978,0.8651,0.8625,0.7245,0.5874,0.4322,0.2775
rbp_95,0.1,4,0,1,1.0,32,0.8093,0.9168,0.9573,0.8014,0.6469,0.4558,0.2854
rbp_80,3.0,4,0,1,1.0,32,0.5983,0.8114,0.7059,0.6659999999999999,0.5359,0.414,0.2719
rbp_90,3.0,4,0,1,1.0,32,0.5983,0.8114,0.7059,0.6659999999999999,0.5359,0.414,0.2719
rbp_95,3.0,4,0,1,1.0,32,0.5983,0.8114,0.7059,0.6659999999999999,0.5359,0.414,0.2719
rbp_80,10.0,4,0,1,1.0,32,0.6025,0.823,0.8288,0.6478,0.5265,0.4023,0.2662
rbp_90,10.0,4,0,1,1.0,32,0.6025,0.823,0.8288,0.6478,0.5265,0.4023,0.2662
rbp_95,10.0,4,0,1,1.0,32,0.6025,0.823,0.8288,0.6478,0.5265,0.4023,0.2662
ap,0.001,4,0,1,1.0,32,0.5025,0.7734,0.703,0.5892,0.4717,0.3802,0.2583
ap,0.01,4,0,1,1.0,32,0.5179,0.7803,0.7231,0.5966,0.4801,0.3837,0.2596
ap,0.1,4,0,1,1.0,32,0.7964,0.9139,0.9521,0.797,0.6433,0.4554,0.2855
ap,1.0,4,0,1,1.0,32,0.7979999999999999,0.9147,0.9532,0.7981,0.6442,0.4556,0.2855
ap,3.0,4,0,1,1.0,32,0.7984,0.9148,0.9532,0.7983,0.6443,0.4557,0.2856
ap,10.0,4,0,1,1.0,32,0.7984,0.9147,0.9529,0.7983,0.6444,0.4557,0.2855
rr,0.001,4,0,1,1.0,32,0.5016,0.7731,0.7024,0.5888,0.4712,0.3799,0.2583
rr,0.01,4,0,1,1.0,32,0.5033,0.7741,0.7064,0.5895,0.4718,0.3801,0.2583
rr,0.1,4,0,1,1.0,32,0.5496,0.7994,0.8031,0.6089,0.491,0.3844,0.259
rr,1.0,4,0,1,1.0,32,0.5819,0.8159,0.8499,0.6251,0.5062,0.3889,0.2601
rr,3.0,4,0,1,1.0,32,0.5863,0.8167,0.848,0.6263,0.5081,0.3894,0.2602
rr,10.0,4,0,1,1.0,32,0.5906,0.8188,0.8525,0.6286,0.5106,0.3903,0.2604
dcg,0.001,4,0,1,2.0,32,0.3375,0.6694,0.5626,0.4257,0.3301,0.2924,0.2187
ndcg_5,0.001,4,0,1,2.0,32,0.3375,0.6694,0.5626,0.4257,0.3301,0.2924,0.2187
dcg,0.1,4,0,1,2.0,32,0.7378,0.8717,0.927,0.7087,0.5834,0.4142,0.266
ndcg_5,0.1,4,0,1,2.0,32,0.7379,0.8716,0.9271,0.7087,0.5834,0.4142,0.266
dcg,0.01,4,0,1,2.0,32,0.3656,0.6842,0.6071,0.4403,0.3454,0.2983,0.2205
ndcg_5,0.01,4,0,1,2.0,32,0.3656,0.6842,0.6071,0.4403,0.3454,0.2983,0.2205
dcg,1.0,4,0,1,2.0,32,0.738,0.8717,0.9272,0.7088,0.5835,0.4143,0.266
ndcg_5,1.0,4,0,1,2.0,32,0.738,0.8717,0.9272,0.7088,0.5835,0.4143,0.266
dcg,3.0,4,0,1,2.0,32,0.7375,0.8716,0.9264,0.7088,0.5834,0.4143,0.266
ndcg_5,3.0,4,0,1,2.0,32,0.738,0.8716,0.9274,0.7085,0.5835,0.4142,0.2659
dcg,10.0,4,0,1,2.0,32,0.737,0.8711,0.9281,0.7073,0.5828,0.4138,0.2657
ndcg_5,10.0,4,0,1,2.0,32,0.737,0.8711,0.9281,0.7073,0.5828,0.4138,0.2657
rbp_80,0.001,4,0,1,2.0,32,0.7416,0.8713,0.9266,0.7092,0.5848,0.4137,0.2653
rbp_90,0.001,4,0,1,2.0,32,0.7416,0.8713,0.9266,0.7092,0.5848,0.4137,0.2653
rbp_95,0.001,4,0,1,2.0,32,0.7416,0.8713,0.9266,0.7092,0.5848,0.4137,0.2653
rbp_80,0.01,4,0,1,2.0,32,0.7424,0.8717,0.9272,0.7098,0.5854,0.414,0.2655
rbp_90,0.01,4,0,1,2.0,32,0.7424,0.8717,0.9272,0.7098,0.5854,0.414,0.2655
rbp_95,0.01,4,0,1,2.0,32,0.7424,0.8717,0.9272,0.7098,0.5854,0.414,0.2655
rbp_80,0.1,4,0,1,2.0,32,0.7446,0.8718,0.9279,0.7099,0.5861,0.4144,0.2656
rbp_90,0.1,4,0,1,2.0,32,0.7446,0.8718,0.9279,0.7099,0.5861,0.4144,0.2656
rbp_95,0.1,4,0,1,2.0,32,0.7446,0.8718,0.9279,0.7099,0.5861,0.4144,0.2656
rbp_80,1.0,4,0,1,2.0,32,0.5329,0.7689,0.7256,0.5678,0.465,0.3635,0.2481
rbp_90,1.0,4,0,1,2.0,32,0.5329,0.7689,0.7256,0.5678,0.465,0.3635,0.2481
rbp_95,1.0,4,0,1,2.0,32,0.5329,0.7689,0.7256,0.5678,0.465,0.3635,0.2481
rbp_80,3.0,4,0,1,2.0,32,0.5397,0.7698,0.6920000000000001,0.5770000000000001,0.4715,0.3683,0.2502
rbp_90,3.0,4,0,1,2.0,32,0.5397,0.7698,0.6920000000000001,0.5770000000000001,0.4715,0.3683,0.2502
rbp_95,3.0,4,0,1,2.0,32,0.5397,0.7698,0.6920000000000001,0.5770000000000001,0.4715,0.3683,0.2502
rbp_80,10.0,4,0,1,2.0,32,0.4596,0.7276,0.7159,0.4894,0.3996,0.3218,0.2293
rbp_90,10.0,4,0,1,2.0,32,0.4595,0.7276,0.7159,0.4894,0.3995,0.3218,0.2293
rbp_95,10.0,4,0,1,2.0,32,0.4595,0.7276,0.7159,0.4893,0.3995,0.3218,0.2293
ap,0.001,4,0,1,2.0,32,0.3395,0.6703,0.5654,0.4266,0.3314,0.2931,0.2189
ap,3.0,4,0,1,2.0,32,0.7328,0.8697,0.9238,0.7059,0.581,0.4136,0.2659
ap,0.01,4,0,1,2.0,32,0.5424,0.7741,0.7957,0.5579999999999999,0.4594,0.3551,0.2439
ap,0.1,4,0,1,2.0,32,0.7329,0.8698,0.9239,0.706,0.5811,0.4135,0.2659
ap,1.0,4,0,1,2.0,32,0.7331,0.8698,0.9237,0.7062,0.5813,0.4136,0.2659
ap,10.0,4,0,1,2.0,32,0.7317,0.8689,0.924,0.7039,0.58,0.4128,0.2655
rr,0.001,4,0,1,2.0,32,0.3363,0.6688,0.5616,0.425,0.3293,0.292,0.2185
rr,0.1,4,0,1,2.0,32,0.4337,0.7179,0.738,0.4659,0.3748,0.3049,0.2212
rr,0.01,4,0,1,2.0,32,0.3391,0.6702,0.5666,0.426,0.3305,0.2923,0.2185
