loss_type: rbp_90, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8562, AP = 0.6831, RR = 0.9133, RBP_80 = 0.5623, RBP_90 = 0.3972, RBP_95 = 0.2555, 
loss_type: rbp_90, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8599, AP = 0.6888, RR = 0.9195, RBP_80 = 0.5667, RBP_90 = 0.3992, RBP_95 = 0.2561, 
loss_type: rbp_90, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7707, AP = 0.5717, RR = 0.7282, RBP_80 = 0.4652, RBP_90 = 0.3619, RBP_95 = 0.2453, 
loss_type: rbp_90, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7719, AP = 0.5771, RR = 0.7094, RBP_80 = 0.4706, RBP_90 = 0.3635, RBP_95 = 0.2454, 
loss_type: rbp_90, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.718, AP = 0.4821, RR = 0.6855, RBP_80 = 0.3855, RBP_90 = 0.3156, RBP_95 = 0.2256, 
loss_type: rbp_95, lr: 0.001, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.851, AP = 0.6744, RR = 0.9069, RBP_80 = 0.5554, RBP_90 = 0.3942, RBP_95 = 0.2544, 
loss_type: rbp_95, lr: 0.01, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8562, AP = 0.6831, RR = 0.9133, RBP_80 = 0.5623, RBP_90 = 0.3972, RBP_95 = 0.2555, 
loss_type: rbp_95, lr: 0.1, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.8599, AP = 0.6888, RR = 0.9195, RBP_80 = 0.5667, RBP_90 = 0.3992, RBP_95 = 0.2561, 
loss_type: rbp_95, lr: 1.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7707, AP = 0.5717, RR = 0.7282, RBP_80 = 0.4652, RBP_90 = 0.3619, RBP_95 = 0.2453, 
loss_type: rbp_95, lr: 3.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7718, AP = 0.5771, RR = 0.7092, RBP_80 = 0.4706, RBP_90 = 0.3635, RBP_95 = 0.2454, 
loss_type: rbp_95, lr: 10.0, frac: 2.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.718, AP = 0.4821, RR = 0.6856, RBP_80 = 0.3855, RBP_90 = 0.3156, RBP_95 = 0.2256, 
loss_type: ndcg_5, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5281, AP = 0.239, RR = 0.3671, RBP_80 = 0.1682, RBP_90 = 0.1644, RBP_95 = 0.1448, 
loss_type: ndcg_5, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5431, AP = 0.2533, RR = 0.4075, RBP_80 = 0.1844, RBP_90 = 0.173, RBP_95 = 0.1484, 
loss_type: ndcg_5, lr: 0.1, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7659, AP = 0.529, RR = 0.8339, RBP_80 = 0.4545, RBP_90 = 0.3194, RBP_95 = 0.2122, 
loss_type: ndcg_5, lr: 1.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7878, AP = 0.5617, RR = 0.8633, RBP_80 = 0.4807, RBP_90 = 0.3361, RBP_95 = 0.2211, 
loss_type: ndcg_5, lr: 3.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7883, AP = 0.5612, RR = 0.8666, RBP_80 = 0.48, RBP_90 = 0.3355, RBP_95 = 0.2211, 
loss_type: ndcg_5, lr: 10.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7878, AP = 0.5613, RR = 0.8642, RBP_80 = 0.4807, RBP_90 = 0.3359, RBP_95 = 0.2209, 
loss_type: dcg, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5281, AP = 0.239, RR = 0.3671, RBP_80 = 0.1682, RBP_90 = 0.1644, RBP_95 = 0.1448, 
loss_type: dcg, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5431, AP = 0.2533, RR = 0.4075, RBP_80 = 0.1844, RBP_90 = 0.173, RBP_95 = 0.1484, 
loss_type: dcg, lr: 0.1, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7659, AP = 0.529, RR = 0.8339, RBP_80 = 0.4545, RBP_90 = 0.3194, RBP_95 = 0.2122, 
loss_type: dcg, lr: 1.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7879, AP = 0.5609, RR = 0.8656, RBP_80 = 0.4797, RBP_90 = 0.3354, RBP_95 = 0.2212, 
loss_type: dcg, lr: 3.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7883, AP = 0.5614, RR = 0.8669, RBP_80 = 0.4802, RBP_90 = 0.3356, RBP_95 = 0.2212, 
loss_type: dcg, lr: 10.0, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7883, AP = 0.5594, RR = 0.8715, RBP_80 = 0.4778, RBP_90 = 0.334, RBP_95 = 0.2207, 
loss_type: ap, lr: 0.001, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.5445, AP = 0.2536, RR = 0.418, RBP_80 = 0.1878, RBP_90 = 0.175, RBP_95 = 0.1496, 
loss_type: ap, lr: 0.01, frac: 5.0, th: 4, emb_size: 32, fold: 0, NDCG = 0.7664, AP = 0.5333, RR = 0.8272, RBP_80 = 0.4555, RBP_90 = 0.3225, RBP_95 = 0.2152, 
