loss_type,lr,threshold,reg,fold,frac,emb_size,NDCG@5,NDCG,RR,AP,RBP_80,RBP_90,RBP_95
rr,0.001,4,0,0,2.0,32,0.3363,0.6685,0.5607,0.4263,0.3287,0.2909,0.2166
rr,0.1,4,0,0,2.0,32,0.4083,0.7058,0.7049,0.455,0.3612,0.299,0.2179
rr,3.0,4,0,0,2.0,32,0.4294,0.7159,0.7277,0.4663,0.3724,0.3031,0.21899999999999997
rr,10.0,4,0,0,2.0,32,0.4358,0.7172,0.7246,0.4687,0.3763,0.3046,0.2195
dcg,0.001,4,0,0,5.0,32,0.1685,0.5281,0.3671,0.239,0.1682,0.1644,0.1448
ndcg_5,0.001,4,0,0,5.0,32,0.1685,0.5281,0.3671,0.239,0.1682,0.1644,0.1448
dcg,0.01,4,0,0,5.0,32,0.1929,0.5431,0.4075,0.2533,0.1844,0.17300000000000001,0.1484
ndcg_5,0.01,4,0,0,5.0,32,0.1929,0.5431,0.4075,0.2533,0.1844,0.17300000000000001,0.1484
dcg,0.1,4,0,0,5.0,32,0.5873,0.7659,0.8339,0.529,0.4545,0.3194,0.2122
ndcg_5,0.1,4,0,0,5.0,32,0.5873,0.7659,0.8339,0.529,0.4545,0.3194,0.2122
ndcg_5,1.0,4,0,0,5.0,32,0.6235,0.7878,0.8633,0.5617,0.4807,0.3361,0.2211
dcg,3.0,4,0,0,5.0,32,0.6237,0.7883,0.8669,0.5614,0.4802,0.3356,0.2212
ndcg_5,3.0,4,0,0,5.0,32,0.6238,0.7883,0.8666,0.5612,0.48,0.3355,0.2211
dcg,10.0,4,0,0,5.0,32,0.622,0.7883,0.8715,0.5594,0.4778,0.33399999999999996,0.2207
ndcg_5,10.0,4,0,0,5.0,32,0.623,0.7878,0.8642,0.5613,0.4807,0.3359,0.2209
rbp_80,0.001,4,0,0,5.0,32,0.6437,0.7918,0.8691,0.5697,0.4953,0.3409,0.2202
rbp_90,0.001,4,0,0,5.0,32,0.6437,0.7918,0.8691,0.5697,0.4953,0.3409,0.2202
rbp_95,0.001,4,0,0,5.0,32,0.6436,0.7917,0.8689,0.5697,0.4953,0.3409,0.2202
rbp_80,0.01,4,0,0,5.0,32,0.6513,0.7956,0.8779,0.5742,0.4983,0.3414,0.2202
rbp_90,0.01,4,0,0,5.0,32,0.6492,0.7946,0.8748,0.5734,0.4981,0.3419,0.2205
rbp_95,0.01,4,0,0,5.0,32,0.6486,0.7942,0.8740000000000001,0.573,0.4978,0.3419,0.2205
rbp_80,0.1,4,0,0,5.0,32,0.6457,0.7934,0.8746,0.5709,0.4946,0.3399,0.2198
rbp_90,0.1,4,0,0,5.0,32,0.6457,0.7934,0.8746,0.5709,0.4946,0.3399,0.2198
rbp_95,0.1,4,0,0,5.0,32,0.6457,0.7934,0.8746,0.5709,0.4946,0.3399,0.2198
rbp_80,1.0,4,0,0,5.0,32,0.2887,0.6112,0.4178,0.3587,0.2891,0.2535,0.1903
rbp_90,1.0,4,0,0,5.0,32,0.2887,0.6112,0.4178,0.3587,0.2891,0.2535,0.1903
rbp_95,1.0,4,0,0,5.0,32,0.2887,0.6112,0.4178,0.3587,0.2891,0.2535,0.1903
rbp_80,3.0,4,0,0,5.0,32,0.3294,0.6191,0.5865,0.3344,0.2765,0.2226,0.1704
rbp_90,3.0,4,0,0,5.0,32,0.3294,0.6191,0.5865,0.3344,0.2765,0.2226,0.1704
rbp_95,3.0,4,0,0,5.0,32,0.3294,0.6191,0.5865,0.3344,0.2765,0.2226,0.1704
rbp_80,10.0,4,0,0,5.0,32,0.2788,0.5911,0.5072,0.3057,0.2497,0.2113,0.1656
rbp_90,10.0,4,0,0,5.0,32,0.2787,0.5911,0.5072,0.3057,0.2496,0.2113,0.1656
rbp_95,10.0,4,0,0,5.0,32,0.2787,0.5911,0.5072,0.3057,0.2496,0.2113,0.1656
ap,0.001,4,0,0,5.0,32,0.198,0.5445,0.418,0.2536,0.1878,0.175,0.1496
ap,0.01,4,0,0,5.0,32,0.5866,0.7664,0.8272,0.5333,0.4555,0.3225,0.2152
ap,0.1,4,0,0,5.0,32,0.6351,0.7931,0.8737,0.5685,0.4878,0.3392,0.2223
ap,3.0,4,0,0,5.0,32,0.6275,0.7891,0.87,0.5621,0.4825,0.3359,0.2206
ap,10.0,4,0,0,5.0,32,0.5757,0.7589,0.8381,0.514,0.4428,0.3119,0.2093
rr,0.001,4,0,0,5.0,32,0.1687,0.5279,0.3676,0.2387,0.168,0.1641,0.1445
rr,0.01,4,0,0,5.0,32,0.2008,0.5443,0.4378,0.2506,0.1841,0.1694,0.1458
rr,0.1,4,0,0,5.0,32,0.2589,0.5736,0.5448,0.2741,0.2162,0.1806,0.1482
rr,3.0,4,0,0,5.0,32,0.292,0.5928,0.5938,0.2931,0.2371,0.1905,0.1519
rr,10.0,4,0,0,5.0,32,0.2942,0.5933,0.5918,0.2938,0.2395,0.1916,0.1521
dcg,0.001,4,0,1,1.0,32,0.4985,0.7712,0.6985,0.5876,0.4686,0.3769,0.2547
ndcg_5,0.001,4,0,1,1.0,32,0.4986,0.7712,0.6984,0.5875,0.4685,0.3769,0.2547
dcg,0.01,4,0,1,1.0,32,0.5173,0.7817,0.7282,0.5991,0.4781,0.3803,0.2558
ndcg_5,0.01,4,0,1,1.0,32,0.5173,0.7817,0.7282,0.5991,0.4781,0.3803,0.2558
dcg,0.1,4,0,1,1.0,32,0.755,0.8958,0.9329,0.7646,0.6138,0.4374,0.2755
ndcg_5,0.1,4,0,1,1.0,32,0.755,0.8958,0.9329,0.7646,0.6138,0.4374,0.2755
dcg,1.0,4,0,1,1.0,32,0.7617,0.8989,0.9367,0.7703,0.6191,0.4405,0.2768
ndcg_5,1.0,4,0,1,1.0,32,0.7619,0.8988,0.9363,0.7703,0.6191,0.4405,0.2768
dcg,3.0,4,0,1,1.0,32,0.7617,0.8993,0.9372,0.7711,0.6196,0.4408,0.27699999999999997
ndcg_5,3.0,4,0,1,1.0,32,0.7618,0.8991,0.9368,0.7708,0.6194,0.4407,0.2769
dcg,10.0,4,0,1,1.0,32,0.7613,0.8997,0.9379,0.7716,0.6198,0.441,0.27699999999999997
ndcg_5,10.0,4,0,1,1.0,32,0.7622,0.8994,0.9378,0.7712,0.6196,0.4408,0.2769
ap,0.01,4,0,1,1.0,32,0.5122,0.7784,0.7208,0.5953,0.4759,0.3798,0.2558
ap,0.001,4,0,1,1.0,32,0.4983,0.7709999999999999,0.6986,0.5873,0.4684,0.3768,0.2547
ap,0.1,4,0,1,1.0,32,0.7509999999999999,0.8936,0.9256,0.7631,0.6134,0.4382,0.276
ap,1.0,4,0,1,1.0,32,0.7609999999999999,0.8988,0.9374,0.7697,0.6185,0.4401,0.2766
ap,3.0,4,0,1,1.0,32,0.7609,0.8993,0.9379,0.7707,0.6191,0.4405,0.2768
rbp_80,0.001,4,0,1,1.0,32,0.7676,0.8978,0.9376,0.7668,0.6168,0.4373,0.2751
rbp_90,0.001,4,0,1,1.0,32,0.7562,0.8951,0.9272,0.7666,0.6158,0.4394,0.2764
rbp_95,0.001,4,0,1,1.0,32,0.7562,0.8951,0.9272,0.7666,0.6158,0.4394,0.2764
ap,10.0,4,0,1,1.0,32,0.7611,0.8992,0.9374,0.7709,0.6192,0.4407,0.2769
rbp_80,0.01,4,0,1,1.0,32,0.7686,0.8982,0.9382,0.7675,0.6174,0.4376,0.2752
rbp_90,0.01,4,0,1,1.0,32,0.7686,0.8982,0.9382,0.7675,0.6174,0.4376,0.2752
rbp_95,0.01,4,0,1,1.0,32,0.7686,0.8982,0.9382,0.7675,0.6174,0.4376,0.2752
rbp_80,0.1,4,0,1,1.0,32,0.7755,0.9021,0.9470000000000001,0.7729,0.6218,0.4397,0.276
rbp_90,0.1,4,0,1,1.0,32,0.7755,0.9021,0.9470000000000001,0.7729,0.6218,0.4397,0.276
rbp_95,0.1,4,0,1,1.0,32,0.7755,0.9021,0.9470000000000001,0.7729,0.6218,0.4397,0.276
